# from Earl Kirkland, Advanced Computing in Electron Microscopy, 1998
1	3.552220e-02	2.627824e-02	3.526952e-02	2.253545e-01	2.253546e-01	2.253557e-01	6.777559e-02	3.566018e-03	2.761311e-02	4.388501e+00	4.038812e-01	1.444886e+00
2	3.736960e-02	3.602289e-02	1.225442e-01	5.364797e-01	5.364807e-01	5.364935e-01	5.064005e-03	2.036209e-02	2.742366e-02	2.709309e-01	8.519623e-01	2.335430e+00
3	1.079604e-01	1.067775e-01	7.713920e-02	9.232587e-01	9.232334e-01	4.741239e-02	2.752442e-03	1.080341e+00	3.467699e-01	1.697616e-01	1.906756e+01	6.283989e+00
4	1.966630e-01	8.829122e-02	1.031858e-01	1.957193e+00	1.001639e-01	1.001687e-01	7.718288e-01	2.717110e-01	1.715614e-03	9.416532e+00	3.266025e+00	9.360642e-02
5	1.506301e-01	1.789763e-01	1.549176e-01	1.498607e-01	3.604150e+00	1.498555e-01	1.234625e-03	1.938657e-01	5.141641e-01	6.106702e-02	2.026379e+00	5.782232e+00
6	2.531484e-01	1.669530e-01	1.602500e-01	2.087618e-01	5.698049e+00	2.087742e-01	1.416334e-01	3.602445e-01	8.661928e-04	1.341129e+00	3.816653e+00	4.122045e-02
7	2.815613e-01	1.463476e-01	2.507945e-01	2.832384e-01	1.050476e+01	2.832365e-01	9.211738e-04	1.070497e-01	2.491313e-01	3.566582e-02	9.948616e-01	2.748836e+00
8	3.685902e-01	1.328965e-01	2.771012e-01	3.675426e-01	1.939548e+01	3.675396e-01	8.393093e-02	1.816311e-01	1.052899e-03	7.583550e-01	2.043603e+00	3.125009e-02
9	3.914242e-01	1.271892e-01	3.650987e-01	4.709178e-01	4.164833e+01	4.709160e-01	1.349241e-03	1.451134e-01	6.967504e-02	2.683706e-02	1.573473e+00	5.918803e-01
10	9.116733e-02	8.631728e-02	8.631084e-01	1.993582e+02	1.991913e+02	5.883617e-01	1.236411e-01	1.914657e-03	5.918051e-02	1.234709e+00	1.968230e-02	4.648850e-01
11	1.360174e-01	1.548314e-01	7.733499e-01	4.954284e-02	1.653977e+01	8.829181e-01	1.270472e-01	3.792859e-02	9.875093e-01	7.009827e-01	2.614757e-01	1.996160e+01
12	3.031412e-01	1.002006e-01	7.587798e-01	8.346318e-02	3.056071e+01	1.636365e+00	3.459038e-02	1.201163e-01	9.598305e-01	2.176352e-01	5.623633e-01	1.206985e+01
13	7.796346e-01	4.261750e-01	5.723010e-02	2.724059e+00	9.113759e-02	7.976358e+01	3.273507e-02	7.859108e-01	1.137047e-01	1.796983e-01	8.646113e+00	4.507743e-01
14	1.201201e-01	1.064980e+00	1.822563e-01	7.063102e+01	1.046004e+00	8.688669e-02	3.060761e-02	1.108677e+00	1.582581e+00	2.147628e-01	3.692059e+00	9.931198e+00
15	3.097112e-01	1.182527e-01	1.044307e+00	1.247911e-01	1.091785e+02	1.345496e+00	2.660002e-02	9.433259e-01	1.341386e+00	1.830981e-01	2.883416e+00	7.549608e+00
16	4.573821e-01	1.272627e-01	1.003354e+00	1.684760e-01	1.938661e+02	1.745387e+00	2.368087e-02	1.134422e+00	8.080084e-01	1.581746e-01	5.932636e+00	2.315919e+00
17	3.122436e-01	3.831954e-01	9.418237e-01	9.479961e+00	9.480126e+00	2.357341e-01	5.597018e-02	1.090282e-02	7.794300e-01	1.687086e-01	6.757712e-02	2.981077e+00
18	3.385555e-01	3.314369e-01	1.071069e+00	1.301043e+01	1.301028e+01	2.880102e-01	4.922236e-02	8.555891e-03	7.639123e-01	1.367493e-01	5.180431e-02	2.441891e+00
19	6.898126e-01	1.465368e-01	9.704170e-01	7.192162e+00	3.785716e-02	3.591375e-01	5.457321e-01	1.747409e+00	2.657201e-02	1.683729e+00	3.217775e+01	1.033652e-01
20	8.718903e-01	6.583525e-01	3.708186e-01	5.866199e-01	8.004372e+00	6.135471e-02	2.210945e-02	1.788977e+00	4.932158e-01	9.086977e-02	2.106051e+01	1.331123e+00
21	9.122615e-01	7.116592e-01	3.707825e-01	5.190238e-01	7.992932e+00	6.767604e-02	1.899306e-02	1.563490e+00	4.073261e-01	8.158724e-02	1.787916e+01	1.114744e+00
22	7.372917e-01	9.963000e-01	3.554176e-01	8.326124e+00	4.969826e-01	7.265959e-02	1.633503e-02	3.601992e-01	1.421713e+00	7.317357e-02	9.572323e-01	1.585121e+01
23	3.404196e-01	7.445720e-01	1.099048e+00	7.728856e-02	8.943268e+00	5.049483e-01	1.420475e-02	3.275341e-01	1.305299e+00	6.568038e-02	8.381614e-01	1.435903e+01
24	3.920636e-01	1.346681e+00	5.393417e-01	7.352865e-02	1.128185e+00	1.144150e+01	4.855258e-01	1.197116e-02	3.379546e-01	1.588379e+00	5.977138e-02	6.748502e-01
25	7.173611e-01	1.328281e+00	3.312337e-01	1.126978e+01	5.808501e-01	8.735141e-02	2.764774e-01	1.136285e-02	1.080089e+00	6.691304e-01	5.327328e-02	1.216829e+01
26	1.449024e+00	3.358044e-01	6.901629e-01	6.386409e-01	9.303142e-02	1.318519e+01	1.050545e-02	2.542427e-01	9.709926e-01	4.823209e-02	6.061126e-01	1.128473e+01
27	3.394630e-01	1.576900e+00	6.582824e-01	9.833374e-02	7.043281e-01	1.586894e+01	2.344919e-01	9.936059e-03	8.768235e-01	5.533252e-01	4.383309e-02	1.056384e+01
28	1.704348e+00	3.449774e-01	6.268844e-01	7.756921e-01	1.038251e-01	1.957357e+01	2.169078e-01	9.594738e-03	7.893447e-01	5.077193e-01	3.998245e-02	9.919681e+00
