# by Peng, et al, Robust paramterization of elastic nd absorptive electron atomic scattering factors, Acta Crystallographica A, 52:257-276
34	1.574000e-01	7.614000e-01	1.483400e+00	3.001600e+00	1.797800e+00	6.860000e-02	6.808000e-01	3.116300e+00	1.434580e+01	4.404550e+01
35	1.899000e-01	8.983000e-01	1.635800e+00	3.184500e+00	1.151800e+00	8.100000e-02	7.957000e-01	3.905400e+00	1.577010e+01	4.561240e+01
36	1.742000e-01	8.447000e-01	1.594400e+00	3.150700e+00	1.133800e+00	7.230000e-02	7.123000e-01	3.519200e+00	1.377240e+01	3.911480e+01
37	3.781000e-01	1.490400e+00	3.575300e+00	3.003100e+00	3.327200e+00	1.557000e-01	1.534700e+00	9.994700e+00	5.142510e+01	1.859828e+02
38	3.723000e-01	1.459800e+00	3.512400e+00	4.461200e+00	3.303100e+00	1.480000e-01	1.464300e+00	9.232000e+00	4.988070e+01	1.480937e+02
39	3.234000e-01	1.273700e+00	3.211500e+00	4.056300e+00	3.796200e+00	1.244000e-01	1.194800e+00	7.275600e+00	3.414300e+01	1.112079e+02
40	2.997000e-01	1.187900e+00	3.107500e+00	3.974000e+00	3.576900e+00	1.121000e-01	1.063800e+00	6.389100e+00	2.870810e+01	9.742890e+01
41	1.680000e-01	9.370000e-01	2.730000e+00	3.815000e+00	3.005300e+00	5.970000e-02	6.524000e-01	4.431700e+00	1.955400e+01	8.550110e+01
42	3.069000e-01	1.171400e+00	3.229300e+00	3.425400e+00	2.122400e+00	1.101000e-01	1.022200e+00	5.961300e+00	2.519650e+01	9.358310e+01
43	2.928000e-01	1.126700e+00	3.167500e+00	3.661900e+00	2.594200e+00	1.020000e-01	9.481000e-01	5.471300e+00	2.381530e+01	8.289910e+01
44	2.604000e-01	1.044200e+00	3.076100e+00	3.217500e+00	1.944800e+00	8.870000e-02	8.240000e-01	4.827800e+00	1.989770e+01	8.045660e+01
45	2.713000e-01	1.055600e+00	3.141600e+00	3.045100e+00	1.717900e+00	9.070000e-02	8.324000e-01	4.770200e+00	1.978620e+01	8.025400e+01
46	2.003000e-01	8.779000e-01	2.613500e+00	2.859400e+00	1.025800e+00	6.590000e-02	6.111000e-01	3.556300e+00	1.276380e+01	4.442830e+01
47	2.739000e-01	1.050300e+00	3.156400e+00	2.754300e+00	1.432800e+00	8.810000e-02	8.028000e-01	4.445100e+00	1.870110e+01	7.926330e+01
